id,left,top,right,bottom,row_index,col_index,cambodia_h,cambodia_1,cambodia_2,cambodia_3,cambodia_4,Lon,lat
2192,597888.530992078129202,1310651.935345211764798,609435.536375870578922,1300651.935345211764798,31,45,25427.577307175844908,1344003.999999999767169,15272.772727272727934,11.000000000000000,134126.301573000499047,105.95155480,11.80938322
2193,597888.530992078129202,1300651.935345211764798,609435.536375870578922,1290651.935345211764798,32,45,18247.835902823135257,1301928.000000000000000,14964.689655172413040,11.000000000000000,131809.259431608923478,105.95084700,11.71931224
2194,597888.530992078129202,1290651.935345211764798,609435.536375870578922,1280651.935345211764798,33,45,53.790991315618157,4333.000000000000000,288.866666666666674,11.000000000000000,130295.736698091830476,105.94662660,11.66017354
2196,597888.530992078129202,1270651.935345211764798,609435.536375870578922,1260651.935345211764798,35,45,0.000000000000000,0.101267599087936,1.000000000000000,11.000000000000000,123927.131532377417898,105.90105480,11.44509198
2198,597888.530992078129202,1250651.935345211764798,609435.536375870578922,1240651.935345211764798,37,45,289.823170835152268,33956.000000000000000,11318.666666666666060,12.000000000000000,127585.313612405632739,105.90550520,11.26623472
2199,597888.530992078129202,1240651.935345211764798,609435.536375870578922,1230651.935345211764798,38,45,6686.738368665799499,895528.000000000000000,11783.263157894736651,11.000000000000000,133714.756192816159455,105.94737820,11.17035310
2200,597888.530992078129202,1230651.935345211764798,609435.536375870578922,1220651.935345211764798,39,45,8263.777917087078094,1122942.000000000000000,12760.704545454547770,11.000000000000000,136617.977001589955762,105.94914040,11.08598464
2201,597888.530992078129202,1220651.935345211764798,609435.536375870578922,1210651.935345211764798,40,45,13013.462288765236735,1406813.000000000000000,15806.887640449438550,12.000000000000000,140176.506235792301595,105.94885000,10.99555730
2202,597888.530992078129202,1210651.935345211764798,609435.536375870578922,1200651.935345211764798,41,45,10915.849306780844927,1029367.000000000000000,15596.469696969696088,12.000000000000000,144341.885136403143406,105.94547310,10.91165268
2203,597888.530992078129202,1200651.935345211764798,609435.536375870578922,1190651.935345211764798,42,45,983.964357105083764,89765.000000000000000,22441.250000000000000,11.000000000000000,144851.548398791492218,105.92486800,10.84820767
2212,606548.785029922612011,1595651.935345211764798,618095.790413714945316,1585651.935345211764798,3,46,13.054220616817474,198.000000000000000,19.800000000000001,11.000000000000000,346017.655258479877375,106.03087900,14.34938557
2213,606548.785029922612011,1585651.935345211764798,618095.790413714945316,1575651.935345211764798,4,46,0.018472597975643,64.000000000000000,1.000000000000000,11.000000000000000,340417.631871738994960,106.05110620,14.29901396
